,rentaldate,occupancy
651,2018-11-28,21.25
652,2018-11-29,22.1875
653,2018-11-30,25.625
654,2018-12-01,27.5
655,2018-12-02,28.75
656,2018-12-03,23.125
657,2018-12-04,23.4375
658,2018-12-05,23.125
659,2018-12-06,23.4375
660,2018-12-07,25.0
661,2018-12-08,27.1875
662,2018-12-09,27.1875
663,2018-12-10,25.9375
664,2018-12-11,24.6875
665,2018-12-12,23.75
666,2018-12-13,26.5625
667,2018-12-14,32.8125
668,2018-12-15,33.75
669,2018-12-16,34.375
670,2018-12-17,29.0625
671,2018-12-18,23.4375
672,2018-12-19,22.1875
673,2018-12-20,31.875
674,2018-12-21,34.0625
675,2018-12-22,30.3125
676,2018-12-23,26.5625
677,2018-12-24,30.625
678,2018-12-25,28.4375
679,2018-12-26,25.0
680,2018-12-27,24.6875
681,2018-12-28,34.0625
682,2018-12-29,43.125
683,2018-12-30,45.0
684,2018-12-31,43.4375
685,2019-01-01,43.4375
686,2019-01-02,31.875
687,2019-01-03,21.25
688,2019-01-04,16.875
689,2019-01-05,20.0
690,2019-01-06,25.625
691,2019-01-07,26.875
692,2019-01-08,22.5
693,2019-01-09,18.4375
694,2019-01-10,14.375
695,2019-01-11,18.75
696,2019-01-12,21.5625
697,2019-01-13,20.3125
698,2019-01-14,19.6875
699,2019-01-15,17.1875
700,2019-01-16,16.5625
701,2019-01-17,15.9375
702,2019-01-18,18.125
703,2019-01-19,20.0
704,2019-01-20,25.625
705,2019-01-21,21.875
706,2019-01-22,22.8125
707,2019-01-23,22.5
708,2019-01-24,22.8125
709,2019-01-25,24.6875
710,2019-01-26,29.6875
711,2019-01-27,30.0
712,2019-01-28,23.75
713,2019-01-29,23.4375
714,2019-01-30,24.6875
715,2019-01-31,22.5
716,2019-02-01,22.8125
717,2019-02-02,23.4375
718,2019-02-03,22.8125
719,2019-02-04,29.375
720,2019-02-05,29.6875
721,2019-02-06,21.5625
722,2019-02-07,20.625
723,2019-02-08,21.5625
724,2019-02-09,27.5
725,2019-02-10,31.25
726,2019-02-11,27.5
727,2019-02-12,28.125
728,2019-02-13,30.9375
729,2019-02-14,26.25
730,2019-02-15,31.5625
731,2019-02-16,35.3125
732,2019-02-17,41.5625
733,2019-02-18,34.375
734,2019-02-19,30.3125
735,2019-02-20,23.4375
736,2019-02-21,25.9375
737,2019-02-22,36.5625
738,2019-02-23,35.625
739,2019-02-24,35.625
740,2019-02-25,35.625
741,2019-02-26,30.625
742,2019-02-27,33.125
743,2019-02-28,35.9375
744,2019-03-01,39.0625
745,2019-03-02,38.4375
746,2019-03-03,39.375
747,2019-03-04,31.875
748,2019-03-05,25.3125
749,2019-03-06,25.625
750,2019-03-07,28.4375
751,2019-03-08,32.8125
752,2019-03-09,32.5
753,2019-03-10,33.125
754,2019-03-11,26.5625
755,2019-03-12,23.75
756,2019-03-13,26.875
757,2019-03-14,30.625
758,2019-03-15,34.375
759,2019-03-16,35.625
760,2019-03-17,30.9375
761,2019-03-18,33.4375
762,2019-03-19,27.1875
763,2019-03-20,32.5
764,2019-03-21,31.5625
765,2019-03-22,33.125
766,2019-03-23,32.5
767,2019-03-24,26.875
768,2019-03-25,22.1875
769,2019-03-26,24.6875
770,2019-03-27,26.875
771,2019-03-28,27.8125
772,2019-03-29,26.875
773,2019-03-30,28.4375
774,2019-03-31,33.125
775,2019-04-01,28.4375
776,2019-04-02,26.5625
777,2019-04-03,24.6875
778,2019-04-04,24.0625
779,2019-04-05,27.8125
780,2019-04-06,34.6875
781,2019-04-07,37.1875
782,2019-04-08,28.125
783,2019-04-09,23.75
784,2019-04-10,23.125
785,2019-04-11,28.4375
786,2019-04-12,28.75
787,2019-04-13,28.75
788,2019-04-14,32.8125
789,2019-04-15,31.5625
790,2019-04-16,29.375
791,2019-04-17,25.9375
792,2019-04-18,29.6875
793,2019-04-19,36.25
794,2019-04-20,32.8125
795,2019-04-21,28.75
796,2019-04-22,25.0
797,2019-04-23,25.625
